target_series,forecast_stage,regime,observations,rmse,mae,bias,median_ae,p90_abs_error,max_abs_error,directional_accuracy
CES0500000003,after_week_1,pandemic_dislocation,22,7.4956526758209945,5.029728951411219,2.714462470784832,3.646374973036368,8.125156228960597,27.779954775578755,0.7727272727272727
CES0500000003,after_week_1,post_2021,54,1.5621528037385748,1.1871317033656676,-0.423036592622806,1.0435261620389156,2.643384159801198,4.335274104617486,1.0
CES0500000003,after_week_1,pre_pandemic,33,1.439444411866466,1.2253110336103317,-0.08120401240875533,1.0818509896557527,2.4152370450433827,2.693268482911648,0.9393939393939394
CES0500000003,after_week_2,pandemic_dislocation,22,11.482002215465808,5.827656097176319,3.312959362559541,3.9404972184008478,9.443311089478133,49.14539260794535,0.8636363636363636
CES0500000003,after_week_2,post_2021,54,1.438225688473766,1.0701408537984842,0.11187469667096564,0.8378310990386244,2.058967611961582,5.269880184720142,1.0
CES0500000003,after_week_2,pre_pandemic,34,1.3380330546426464,1.0911036400974397,0.13121676320219713,0.9803262724096262,2.0898272605723935,2.890054201643864,0.9411764705882353
CES0500000003,month_end,pandemic_dislocation,22,11.916960155085446,5.844431470856737,3.3517644301763196,3.9736050425176055,7.222692427445676,51.35824160433704,0.8636363636363636
CES0500000003,month_end,post_2021,54,1.4336463147491758,1.0820485532824506,0.11526963540153039,0.8839589879760577,2.0561414208729145,5.1391750806704835,1.0
CES0500000003,month_end,pre_pandemic,34,1.3105976725340946,1.0768638713110097,0.12324668223210837,0.9626020036347549,2.037711430350065,2.7294260868033358,0.9411764705882353
CES0500000003,month_open,pandemic_dislocation,22,8.88384678715412,5.198606243568022,3.1472444035768636,3.0652119979079506,10.09490272692424,34.72343076406564,0.7727272727272727
CES0500000003,month_open,post_2021,54,1.6995147295577917,1.2373238953688077,-0.387825154533729,0.9941543919005698,2.7558270234829125,6.20158117960288,1.0
CES0500000003,month_open,pre_pandemic,33,1.691748275101572,1.3939815250342733,-0.07835714694942963,1.1499804555149757,2.6013946080029235,4.880013306656403,0.9393939393939394
CES0500000003,pre_employment_report,pandemic_dislocation,22,11.981037769980436,5.919596513352931,3.342295696629767,4.029252117986775,7.254628832043355,51.62878922347698,0.8636363636363636
CES0500000003,pre_employment_report,post_2021,54,1.431447720198168,1.0857462560835947,0.11360119022804678,0.9180570706417033,2.1123471688306337,5.184709122556033,1.0
CES0500000003,pre_employment_report,pre_pandemic,34,1.3079111676406028,1.0751170681972757,0.11953827040044146,0.9477763028041692,2.021295611674792,2.7265150222106915,0.9411764705882353
PAYEMS,after_week_1,pandemic_dislocation,22,4525.616608765116,1889.3350207512865,-246.87727808015742,527.0485334225284,3315.7234201861984,19280.56581375182,0.7272727272727273
PAYEMS,after_week_1,post_2021,54,186.13216120224743,140.15799842606515,49.20630536054388,113.04036558127584,254.86313417274846,653.0762816645093,0.9259259259259259
PAYEMS,after_week_1,pre_pandemic,43,86.31355610426924,67.13407407668137,-21.372464271519174,58.4337518504864,156.31892819189733,206.0750573023438,0.9767441860465116
PAYEMS,after_week_2,pandemic_dislocation,22,4609.361328753105,2195.9854216329386,-310.6602054779945,703.9965759226415,5038.256774608152,18688.930388092347,0.6818181818181818
PAYEMS,after_week_2,post_2021,54,236.76502516098262,184.70351488228255,3.063491448225442,154.5293742269377,385.2813942340101,747.248441565666,0.7962962962962963
PAYEMS,after_week_2,pre_pandemic,44,99.48079367204734,80.83768244849924,-10.901988871213712,72.40499505383258,165.26903162999778,236.912518668571,0.9772727272727273
PAYEMS,month_end,pandemic_dislocation,22,4582.070253541737,2157.3950080517,-250.85826893085778,602.2813992587625,4680.7144523063425,18457.49077740499,0.7272727272727273
PAYEMS,month_end,post_2021,54,235.32098832751103,178.78145940133732,2.1917882294397693,152.05463800331754,350.5081678439814,825.6160516068483,0.7777777777777778
PAYEMS,month_end,pre_pandemic,44,107.98316919922641,87.1829035540912,-14.957083966888918,73.44528821117817,173.5872958509305,249.56354795231516,0.9772727272727273
PAYEMS,month_open,pandemic_dislocation,22,4736.306695611992,2251.0454545454545,95.36363636363635,1109.9583333333333,3376.9333333333343,20678.083333333332,0.4090909090909091
PAYEMS,month_open,post_2021,54,119.4029492952813,97.58024691358025,-56.586419753086425,72.25,207.3916666666667,249.41666666666663,0.9629629629629629
PAYEMS,month_open,pre_pandemic,43,74.17036725372857,59.04457364341086,-10.41279069767442,48.08333333333334,99.53333333333336,217.91666666666666,0.9767441860465116
PAYEMS,pre_employment_report,pandemic_dislocation,22,4571.788256612499,2167.0412676495116,-243.11175863324368,715.6218326469916,4598.897821458927,18405.242426154673,0.7727272727272727
PAYEMS,pre_employment_report,post_2021,54,230.96364010952811,181.12815653752227,4.919832662713914,163.13394505584176,346.6945781231525,799.3608295341704,0.8148148148148148
PAYEMS,pre_employment_report,pre_pandemic,44,107.51025483728299,87.19258586300555,-14.253558572608855,73.4040360533933,178.3469339377365,241.41960871161058,0.9772727272727273
UNRATE,after_week_1,pandemic_dislocation,22,3.233346492734201,1.477378327502612,0.5496373426220669,0.42302653003919377,4.098588784202279,11.690227996624888,0.8636363636363636
UNRATE,after_week_1,post_2021,53,0.27391112492078173,0.23830765595015166,0.20655593337984574,0.23602755983184132,0.4227834162271914,0.5255400264457952,0.32075471698113206
UNRATE,after_week_1,pre_pandemic,43,0.1757332839902356,0.14475560684993152,0.10307724859376735,0.12288361244306545,0.2715351946595155,0.44889508101196185,0.4883720930232558
UNRATE,after_week_2,pandemic_dislocation,22,2.595782429083862,1.0726746227278872,0.22391620437616286,0.3731178251879723,1.1983250560111371,11.175082471428953,0.8636363636363636
UNRATE,after_week_2,post_2021,53,0.27772142154563745,0.24316252230372162,0.20897184234976587,0.23910489410218227,0.43144356875549716,0.5255400264457952,0.32075471698113206
UNRATE,after_week_2,pre_pandemic,44,0.1701120822091343,0.14060593594208382,0.10709668831637219,0.11976857387792128,0.2514055024508499,0.46503793347571687,0.45454545454545453
UNRATE,month_end,pandemic_dislocation,22,2.4656368847755177,1.0323239555992023,0.20664291823092357,0.3717225713799839,1.3406002234973775,10.755355969113106,0.9090909090909091
UNRATE,month_end,post_2021,53,0.27179240554879297,0.23745132382822792,0.20899203854120335,0.22786519567019292,0.42924569285206193,0.5281710400551365,0.32075471698113206
UNRATE,month_end,pre_pandemic,44,0.16865238274233169,0.13682659389828783,0.10480532159923533,0.11605441396691951,0.2505114311365129,0.46768249917194105,0.4772727272727273
UNRATE,month_open,pandemic_dislocation,22,4.036912408614918,1.905202479064227,0.0899637911479314,0.46719086481666383,7.78331499145752,12.073759074205531,0.8181818181818182
UNRATE,month_open,post_2021,53,0.28589308557781773,0.24763468927255924,0.20559333200010713,0.23910105168476736,0.448984469624089,0.6151066183513758,0.3584905660377358
UNRATE,month_open,pre_pandemic,43,0.179663975003728,0.1446418697867812,0.08297163000956082,0.13583750243714343,0.2827733345258791,0.4412151391680097,0.5813953488372093
UNRATE,pre_employment_report,pandemic_dislocation,22,2.452397775812481,1.0146895090845645,0.21931695328648584,0.32668147538526515,1.3474335123178627,10.700426343632982,0.9090909090909091
UNRATE,pre_employment_report,post_2021,53,0.25942116163183354,0.22679117763124723,0.20048147825100035,0.2241863587474442,0.3950345454459847,0.4873717586297719,0.3584905660377358
UNRATE,pre_employment_report,pre_pandemic,44,0.1687884779447217,0.13682726003629486,0.10497376846656191,0.11400311846217481,0.25383921626293726,0.46768249917194105,0.4772727272727273
