target_series,forecast_stage,observations,rmse,mae,bias,median_ae,p90_abs_error,max_abs_error,directional_accuracy,model_name
CES0500000003,after_week_1,85,5.632326772188116,2.411100679745824,0.6698064740957446,1.1262899870786605,4.297158288627918,43.5370897949255,0.9294117647058824,Adaptive shadow
CES0500000003,after_week_2,86,6.117457469292748,2.322012261057809,0.8662412626673271,1.0003963318778946,4.355234393379879,50.89018195946801,0.9534883720930233,Adaptive shadow
CES0500000003,month_end,86,6.624244748258402,2.5196407150336326,0.7009118912936683,1.0818748838948289,4.402148936545672,51.896898894225615,0.9418604651162791,Adaptive shadow
CES0500000003,month_open,85,6.534037831520449,2.5516021411098575,0.8722601403109078,1.1074573401647747,4.630127272361577,50.46271414838619,0.9411764705882353,Adaptive shadow
CES0500000003,pre_employment_report,86,6.623523618606291,2.522133694178523,0.7288514643663407,1.0510386104571392,4.316262760091202,51.896898894225615,0.9418604651162791,Adaptive shadow
PAYEMS,after_week_1,95,2264.623260459871,564.881174227375,72.8352271706147,125.0,880.6539195982539,20696.0,0.9052631578947369,Adaptive shadow
PAYEMS,after_week_2,96,2302.9099971888545,596.9917292835403,55.44774167778576,106.83333333333333,1086.625,20696.0,0.8125,Adaptive shadow
PAYEMS,month_end,96,2304.8749605802873,601.9050426244079,53.155854217947216,105.41666666666667,1086.625,20696.0,0.7916666666666666,Adaptive shadow
PAYEMS,month_open,95,2281.7701746117637,596.0212087093113,7.025992949763658,118.06185630659417,1254.6166666666684,20678.083333333332,0.8315789473684211,Adaptive shadow
PAYEMS,pre_employment_report,96,2305.2688457954187,605.7258525239997,56.20087164716142,110.05650900652269,1086.625,20696.0,0.78125,Adaptive shadow
UNRATE,after_week_1,94,1.5767605243502467,0.4892986050073133,0.21296945704288553,0.18132727686063355,0.4971137298339773,11.690227996624888,0.4787234042553192,Adaptive shadow
UNRATE,after_week_2,95,1.2654354837980915,0.3975560389657899,0.14949317151039537,0.18496511271039662,0.4494478035795642,11.175082471428953,0.4631578947368421,Adaptive shadow
UNRATE,month_end,95,1.2022144562484363,0.37926504567305913,0.13237811419478965,0.18150593279669858,0.443848682440622,10.755355969113106,0.4842105263157895,Adaptive shadow
UNRATE,month_open,94,2.792525003021043,0.6956668303381371,-0.02987435716117557,0.20449733389846214,0.5591785891152697,22.460492552059343,0.48936170212765956,Adaptive shadow
UNRATE,pre_employment_report,95,1.1937226702522867,0.3598123764814816,0.12110458965117059,0.17439784470161523,0.4410522281157107,10.700426343632982,0.5157894736842106,Adaptive shadow
