fold_id,state_date,actual_family,source_predicted_family,source_actual_family_rank,source_actual_family_probability,source_top1_probability,source_top2_probability,source_top3_probability,source_second_third_probability_gap,source_entropy,source_normalised_entropy,source_top1_hit,source_top2_hit,source_top3_hit,source_soft_brier,source_soft_log_loss,rolling_frequency_predicted_family,rolling_frequency_actual_family_rank,rolling_frequency_actual_family_probability,rolling_frequency_top1_hit,rolling_frequency_top2_hit,rolling_frequency_top3_hit,rolling_frequency_soft_brier,rolling_frequency_soft_log_loss,previous_actual_family,next_actual_family,transition_month,one_month_before_transition,one_month_after_transition,adjacent_family_miss,miss_depth,state_context,confidence_context,adjacency_context,dimension_attribution,dimension_disagreement,source_brier_improvement,source_log_loss_improvement
fold_03,2023-02-28,contraction,benign_expansion,4,0.1279296875,0.353515625,0.3125,0.1982421875,0.1142578125,1.3528535255670227,0.8405751567769262,False,False,False,1.0224971771240234,2.0562744823983015,inflationary_expansion,5,0.08333333333333333,False,False,False,1.111111111111111,2.4849066497880004,mixed,contraction,True,False,True,,rank_four_or_five_deep_miss,transition_month,low_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,0.0886139339870875,0.4286321673896989
fold_03,2023-03-31,contraction,benign_expansion,4,0.1552734375,0.4013671875,0.24609375,0.1923828125,0.0537109375,1.3437256791469119,0.8349037069188164,False,False,False,0.9722557067871094,1.8625676033792216,benign_expansion,5,0.08333333333333333,False,False,False,1.0694444444444442,2.4849066497880004,contraction,benign_expansion,False,True,True,,rank_four_or_five_deep_miss,stable_state_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,0.09718873765733482,0.6223390464087788
fold_03,2023-04-30,benign_expansion,benign_expansion,1,0.4267578125,0.4267578125,0.314453125,0.2314453125,0.0830078125,1.1643151809353864,0.723429696753251,True,True,True,0.48180198669433594,0.8515386105038629,benign_expansion,1,0.3333333333333333,True,True,True,0.5694444444444445,1.0986122886681098,contraction,benign_expansion,True,False,False,,top2_hit,transition_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.0876424577501086,0.24707367816424686
fold_03,2023-05-31,benign_expansion,benign_expansion,1,0.3447265625,0.3447265625,0.3115234375,0.1845703125,0.126953125,1.3814872607434192,0.8583662967489498,True,True,True,0.41991518750602813,1.134417197763229,benign_expansion,1,0.3333333333333333,True,True,True,0.39043209876543217,1.1305769633849743,benign_expansion,mixed,False,True,True,,top2_hit,stable_state_month,low_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.029483088740595964,-0.0038402343782546478
fold_03,2023-06-30,mixed,benign_expansion,3,0.185546875,0.4580078125,0.2744140625,0.185546875,0.0888671875,1.2354672112227953,0.7676389388356617,False,False,True,0.5522842197915326,1.517118345237894,benign_expansion,4,0.16666666666666669,False,False,False,0.5392661179698217,1.6633988802354724,benign_expansion,benign_expansion,True,True,False,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.013018101821710926,0.14628053499757843
fold_03,2023-07-31,benign_expansion,benign_expansion,1,0.4150390625,0.4150390625,0.3427734375,0.228515625,0.1142578125,1.127989574312625,0.7008593283394592,True,True,True,0.5120792388916016,0.8793826366750362,benign_expansion,1,0.33333333333333337,True,True,True,0.5694444444444444,1.0986122886681096,mixed,benign_expansion,True,False,True,,top2_hit,transition_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.05736520555284286,0.21922965199307332
fold_04,2023-05-31,benign_expansion,benign_expansion,1,0.3447265625,0.3447265625,0.3115234375,0.1845703125,0.126953125,1.3814872607434192,0.8583662967489498,True,True,True,0.41991518750602813,1.134417197763229,benign_expansion,1,0.3333333333333333,True,True,True,0.39043209876543217,1.1305769633849743,benign_expansion,mixed,False,True,True,,top2_hit,stable_state_month,low_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.029483088740595964,-0.0038402343782546478
fold_04,2023-06-30,mixed,benign_expansion,3,0.185546875,0.4580078125,0.2744140625,0.185546875,0.0888671875,1.2354672112227953,0.7676389388356617,False,False,True,0.5522842197915326,1.517118345237894,benign_expansion,4,0.16666666666666669,False,False,False,0.5392661179698217,1.6633988802354724,benign_expansion,benign_expansion,True,True,False,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.013018101821710926,0.14628053499757843
fold_04,2023-07-31,benign_expansion,benign_expansion,1,0.4150390625,0.4150390625,0.3427734375,0.228515625,0.1142578125,1.127989574312625,0.7008593283394592,True,True,True,0.5120792388916016,0.8793826366750362,benign_expansion,1,0.33333333333333337,True,True,True,0.5694444444444444,1.0986122886681096,mixed,benign_expansion,True,False,True,,top2_hit,transition_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.05736520555284286,0.21922965199307332
fold_04,2023-08-31,benign_expansion,benign_expansion,1,0.513671875,0.513671875,0.306640625,0.1435546875,0.1630859375,1.1108908463758684,0.6902352913358221,True,True,True,0.16009209348995174,1.1383441580317335,benign_expansion,1,0.33333333333333337,True,True,True,0.22650891632373116,1.3553334666532746,benign_expansion,mixed,False,True,True,,top2_hit,stable_state_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.06641682283377942,0.2169893086215411
