state_date,source_soft_brier,rolling_frequency_soft_brier,source_brier_improvement,source_soft_log_loss,rolling_frequency_soft_log_loss,source_log_loss_improvement
2022-08-31,0.47902177881311486,0.013888888888888892,-0.46513288992422597,3.2171905673299643,1.091315951499513,-2.125874615830451
2022-09-30,0.3109879670319734,0.14351851851851855,-0.16746944851345485,1.7145806481158687,1.4124683690435313,-0.3021122790723374
2022-10-31,0.2335212377854335,0.6682098765432098,0.43468863875777636,0.811971988281238,1.7147431158325055,0.9027711275512675
2022-11-30,0.348807953676242,0.4322702331961591,0.08346227951991708,1.3773210009351493,1.6120546446384394,0.23473364370329008
2022-12-31,0.8094540584234543,0.8765432098765431,0.0670891514530888,1.5327070893921464,2.362838617713766,0.8301315283216195
2023-01-31,0.600155719186707,0.3628257887517147,-0.2373299304349923,3.706335384549501,1.551483849608402,-2.154851534941099
2023-02-28,1.0224971771240234,1.111111111111111,0.0886139339870875,2.0562744823983015,2.4849066497880004,0.4286321673896989
2023-03-31,0.9722557067871094,1.0694444444444442,0.09718873765733482,1.8625676033792216,2.4849066497880004,0.6223390464087788
2023-04-30,0.48180198669433594,0.5694444444444445,0.0876424577501086,0.8515386105038629,1.0986122886681098,0.24707367816424686
2023-05-31,0.41991518750602813,0.39043209876543217,-0.029483088740595964,1.134417197763229,1.1305769633849743,-0.0038402343782546478
2023-06-30,0.5522842197915326,0.5392661179698217,-0.013018101821710926,1.517118345237894,1.6633988802354724,0.14628053499757843
2023-07-31,0.5120792388916016,0.5694444444444444,0.05736520555284286,0.8793826366750362,1.0986122886681096,0.21922965199307332
2023-08-31,0.16009209348995174,0.22650891632373116,0.06641682283377942,1.1383441580317335,1.3553334666532746,0.2169893086215411
2023-09-30,0.868218622089904,0.8024691358024691,-0.06574948628743482,2.029837985371967,1.791759469228055,-0.23807851614391184
2023-10-31,0.25001273920506606,0.13580246913580246,-0.1142102700692636,1.4254959797656115,1.1814193088568827,-0.24407667090872875
2023-11-30,0.4597511291503906,0.33333333333333326,-0.12641779581705737,0.8244489178571988,0.6931471805599451,-0.1313017372972537
2023-12-31,0.40407562255859375,0.26388888888888884,-0.1401867336697049,0.7208717285748002,0.5389965007326869,-0.1818752278421133
2024-01-31,0.747468689341604,0.6959876543209877,-0.051481035020616295,2.950809951497533,7.218455862188481,4.267645910690948
2024-02-29,0.8055496215820312,1.0972222222222223,0.29167260064019107,1.5065217881180504,1.791759469228055,0.2852376811100046
2024-03-31,0.54608154296875,1.0972222222222223,0.5511406792534723,0.9782284713116689,1.791759469228055,0.8135309979163861
2024-04-30,0.8087978363037109,0.9305555555555556,0.12175771925184464,1.4261402696670904,1.3862943611198906,-0.039845908547199826
2024-05-31,0.4223155975341797,0.26388888888888884,-0.15842670864529085,0.7766137115830354,0.5389965007326869,-0.23761721085034848
2024-06-30,0.3817992740207248,0.2638888888888889,-0.11791038513183588,1.3908387800318351,1.1038617409908227,-0.28697703904101246
2024-07-31,0.8235940684670446,0.8345336076817558,0.010939539214711136,1.4663362213065771,1.3549129588833273,-0.11142326242324985
