segment,fold_months,source_top2_coverage,rolling_frequency_top2_coverage,source_mean_brier,rolling_frequency_mean_brier,mean_source_brier_improvement
stable_state_month,19,0.7368421052631579,0.5789473684210527,0.5186563370227986,0.5458540899574037,0.0271977529346052
transition_month,23,0.43478260869565216,0.6086956521739131,0.6232768612939726,0.6445324148625277,0.021255553568554915
one_month_before_transition,24,0.5416666666666666,0.5833333333333334,0.6046209233942018,0.6215706447187929,0.016949721324590997
one_month_after_transition,23,0.6521739130434783,0.5652173913043478,0.5487736400341017,0.621212798950319,0.07243915891621742
