candidate_id,calibration_method,architecture_id,training_mode_regime,mode_accuracy,persistence_accuracy,strongest_baseline,strongest_baseline_accuracy,months,dimension_rmse,growth_bias,inflation_bias,labour_bias,exact_regime_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,family_accuracy,family_balanced_accuracy,family_macro_f1,transition_precision,transition_recall,transition_f1,false_transition_rate,actual_transition_count,predicted_transition_count,baseline_margin,beats_strongest_baseline,abstention_rate,unique_regimes,maximum_regime_share,regime_collapse,rank_component_macro_f1,rank_component_balanced_accuracy,rank_component_family_macro_f1,rank_component_family_balanced_accuracy,rank_component_baseline_margin,rank_component_transition_recall,rank_component_false_transition_rate,rank_component_dimension_rmse,audit_score,audit_rank
none__direct_eight_state,none,direct_eight_state,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.6075487918441003,0.05179726723338994,0.018878495120183615,0.31153984262124174,0.42105263157894735,0.24166666666666664,0.22727272727272724,0.24166666666666664,0.22736842105263158,0.5789473684210527,0.4868686868686869,0.4969696969696969,0.4444444444444444,0.5,0.47058823529411764,0.5555555555555556,8,9,-0.13450292397660824,False,0.0,3,0.5789473684210527,False,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.5555555555555556,0.8888888888888888,96.33333333333334,1
expanding_affine_shrinkage__direct_eight_state,expanding_affine_shrinkage,direct_eight_state,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.6320085263307543,-0.03352074088284319,0.15895581155143831,0.5518899534384502,0.3684210526315789,0.175,0.10769230769230768,0.175,0.13333333333333336,0.5263157894736842,0.3757575757575758,0.3555555555555556,0.42857142857142855,0.375,0.39999999999999997,0.5714285714285714,8,7,-0.18713450292397665,False,0.0,3,0.6842105263157895,False,0.8888888888888888,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.4444444444444444,0.5555555555555556,76.11111111111111,2
expanding_bias__direct_eight_state,expanding_bias,direct_eight_state,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.7220867570732685,-0.4313047541261684,0.1943329627391964,0.5772249019927855,0.15789473684210525,0.15833333333333333,0.125,0.15833333333333333,0.08210526315789474,0.2631578947368421,0.296969696969697,0.17826617826617827,0.4,0.25,0.3076923076923077,0.6,8,5,-0.3976608187134503,False,0.0,3,0.8421052631578947,True,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.2222222222222222,55.44444444444444,3
expanding_bias__family_first,expanding_bias,family_first,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.7220867570732685,-0.4313047541261684,0.1943329627391964,0.5772249019927855,0.15789473684210525,0.2,0.03333333333333333,0.2,0.05714285714285714,0.2631578947368421,0.3333333333333333,0.14492753623188406,0.0,0.0,0.0,1.0,8,2,-0.3976608187134503,False,0.0,2,0.9473684210526315,True,0.5555555555555556,0.7222222222222222,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.2222222222222222,53.0,4
none__family_first_interval_abstain,none,family_first_interval_abstain,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.6075487918441003,0.05179726723338994,0.018878495120183615,0.31153984262124174,0.15789473684210525,0.2,0.031578947368421054,0.2,0.05454545454545454,0.15789473684210525,0.3333333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,8,0,-0.3976608187134503,False,1.0,1,1.0,True,0.3333333333333333,0.7222222222222222,0.2222222222222222,0.6111111111111112,0.5555555555555556,0.2777777777777778,0.8888888888888888,0.8888888888888888,50.66666666666666,5
expanding_affine_shrinkage__family_first_interval_abstain,expanding_affine_shrinkage,family_first_interval_abstain,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.6320085263307543,-0.03352074088284319,0.15895581155143831,0.5518899534384502,0.15789473684210525,0.2,0.031578947368421054,0.2,0.05454545454545454,0.15789473684210525,0.3333333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,8,0,-0.3976608187134503,False,1.0,1,1.0,True,0.3333333333333333,0.7222222222222222,0.2222222222222222,0.6111111111111112,0.5555555555555556,0.2777777777777778,0.8888888888888888,0.5555555555555556,49.0,6
expanding_bias__family_first_interval_abstain,expanding_bias,family_first_interval_abstain,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.7220867570732685,-0.4313047541261684,0.1943329627391964,0.5772249019927855,0.15789473684210525,0.2,0.031578947368421054,0.2,0.05454545454545454,0.15789473684210525,0.3333333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,8,0,-0.3976608187134503,False,1.0,1,1.0,True,0.3333333333333333,0.7222222222222222,0.2222222222222222,0.6111111111111112,0.5555555555555556,0.2777777777777778,0.8888888888888888,0.2222222222222222,47.333333333333336,7
none__family_first,none,family_first,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.6075487918441003,0.05179726723338994,0.018878495120183615,0.31153984262124174,0.10526315789473684,0.05,0.08,0.05,0.06153846153846154,0.21052631578947367,0.19393939393939394,0.17222222222222225,0.45454545454545453,0.625,0.5263157894736842,0.5454545454545454,8,11,-0.45029239766081874,False,0.0,4,0.5263157894736842,False,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.16666666666666666,1.0,0.6666666666666666,0.8888888888888888,45.88888888888889,8
expanding_affine_shrinkage__family_first,expanding_affine_shrinkage,family_first,disinflationary_expansion,0.15789473684210525,0.5555555555555556,persistence,0.5555555555555556,19,0.6320085263307543,-0.03352074088284319,0.15895581155143831,0.5518899534384502,0.10526315789473684,0.13333333333333333,0.025,0.13333333333333333,0.042105263157894736,0.21052631578947367,0.26666666666666666,0.12698412698412698,0.2,0.125,0.15384615384615385,0.8,8,5,-0.45029239766081874,False,0.0,4,0.8421052631578947,True,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.16666666666666666,0.5555555555555556,0.2222222222222222,0.5555555555555556,26.222222222222225,9
