candidate_id,calibration_method,architecture_id,mean_fold_score,median_fold_score,median_fold_rank,rank_std,worst_fold_rank,leading_third_rate,catastrophic_fold_rate,baseline_dominance_rate,mean_macro_f1,mean_balanced_accuracy,mean_family_macro_f1,mean_family_balanced_accuracy,mean_transition_recall,mean_false_transition_rate,mean_abstention_rate,regime_collapse_fold_rate,mean_growth_abs_bias,mean_labour_abs_bias,bootstrap_margin_mean,bootstrap_margin_lower,bootstrap_margin_upper,rank_component_mean_fold_score,rank_component_median_fold_score,rank_component_median_fold_rank,rank_component_rank_std,rank_component_leading_third_rate,rank_component_baseline_dominance_rate,rank_component_mean_macro_f1,rank_component_mean_family_macro_f1,rank_component_mean_transition_recall,rank_component_mean_false_transition_rate,stability_score,stability_rank,audit_rank,audit_score,governance_failures,governance_pass
none__direct_eight_state,none,direct_eight_state,80.26190476190477,79.11111111111111,1.0,0.7284313590846835,3,1.0,0.0,0.0,0.3217120181405896,0.3468253968253968,0.3943001443001443,0.44603174603174606,0.4523809523809524,0.5071428571428571,0.0,0.5714285714285714,0.48320470096549234,0.21816956318888406,-0.13157894736842105,-0.2631578947368421,-0.07894736842105263,1.0,0.9444444444444444,1.0,1.0,1.0,0.5555555555555556,0.8888888888888888,1.0,0.8888888888888888,0.4444444444444444,89.94444444444444,1,1,96.33333333333334,"['naive-baseline dominance rate is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'false-transition rate exceeds the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
none__family_first,none,family_first,79.23015873015872,79.11111111111111,2.0,0.9897433186107869,4,0.8571428571428571,0.0,0.0,0.32964852607709755,0.3468253968253968,0.3523500309214595,0.41587301587301584,0.5,0.4714285714285714,0.0,0.5714285714285714,0.48320470096549234,0.21816956318888406,-0.13157894736842105,-0.2631578947368421,-0.07894736842105263,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5555555555555556,1.0,0.7777777777777778,1.0,0.5555555555555556,84.16666666666669,2,8,45.88888888888889,"['naive-baseline dominance rate is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
expanding_bias__direct_eight_state,expanding_bias,direct_eight_state,56.0,60.444444444444436,5.0,2.249716535431946,9,0.14285714285714285,0.2857142857142857,0.0,0.08027210884353742,0.13095238095238096,0.3554232804232805,0.39365079365079364,0.11904761904761904,0.7142857142857143,0.0,1.0,0.7685096280834465,0.5090930865793608,-0.5263157894736842,-0.6842105263157895,-0.4473684210526316,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.4444444444444444,0.5,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.6111111111111112,0.2222222222222222,65.5,3,3,55.44444444444444,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'false-transition rate exceeds the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
expanding_affine_shrinkage__direct_eight_state,expanding_affine_shrinkage,direct_eight_state,55.79365079365079,48.666666666666664,6.0,2.356060357495806,8,0.42857142857142855,0.14285714285714285,0.0,0.06995464852607709,0.13095238095238096,0.32566137566137565,0.3841269841269841,0.047619047619047616,0.7857142857142857,0.0,1.0,0.6321235755221909,0.3362208894658722,-0.5263157894736842,-0.6842105263157895,-0.47368421052631576,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.1111111111111111,55.999999999999986,4,2,76.11111111111111,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'false-transition rate exceeds the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
expanding_affine_shrinkage__family_first,expanding_affine_shrinkage,family_first,47.452380952380956,45.33333333333334,5.0,2.498979383505129,9,0.14285714285714285,0.2857142857142857,0.0,0.09603174603174604,0.07142857142857142,0.22585034013605446,0.2107142857142857,0.19047619047619047,0.7023809523809523,0.0,0.5714285714285714,0.6321235755221909,0.3362208894658722,-0.5526315789473685,-0.6842105263157895,-0.5,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.1111111111111111,0.5,0.5555555555555556,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.3333333333333333,53.333333333333336,5,9,26.222222222222225,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'false-transition rate exceeds the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
expanding_affine_shrinkage__family_first_interval_abstain,expanding_affine_shrinkage,family_first_interval_abstain,46.06349206349206,44.44444444444444,6.0,1.498298354528788,8,0.0,0.14285714285714285,0.0,0.047619047619047616,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.0,0.0,1.0,1.0,0.6321235755221909,0.3362208894658722,-0.5263157894736842,-0.6842105263157895,-0.47368421052631576,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8888888888888888,43.111111111111114,6,6,49.0,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
none__family_first_interval_abstain,none,family_first_interval_abstain,46.53968253968254,41.11111111111111,6.0,2.2587697572631282,9,0.42857142857142855,0.14285714285714285,0.0,0.047619047619047616,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.0,0.0,1.0,1.0,0.48320470096549234,0.21816956318888406,-0.5263157894736842,-0.6842105263157895,-0.47368421052631576,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.7222222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8888888888888888,41.44444444444444,7,5,50.66666666666666,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
expanding_bias__family_first,expanding_bias,family_first,44.5,44.11111111111111,7.0,1.9059520091609048,9,0.0,0.42857142857142855,0.0,0.06519274376417233,0.09523809523809523,0.15022675736961452,0.18253968253968253,0.11904761904761904,0.4523809523809524,0.0,0.7142857142857143,0.7685096280834465,0.5090930865793608,-0.5263157894736842,-0.6842105263157895,-0.47368421052631576,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.6666666666666666,36.722222222222214,8,4,53.0,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
expanding_bias__family_first_interval_abstain,expanding_bias,family_first_interval_abstain,44.15873015873016,42.77777777777778,8.0,1.5118578920369088,9,0.0,0.5714285714285714,0.0,0.047619047619047616,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.0,0.0,1.0,1.0,0.7685096280834465,0.5090930865793608,-0.5263157894736842,-0.6842105263157895,-0.47368421052631576,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8888888888888888,29.777777777777782,9,7,47.333333333333336,"['naive-baseline dominance rate is below the gate', 'eight-regime macro-F1 is below the gate', 'eight-regime balanced accuracy is below the gate', 'regime-family macro-F1 is below the gate', 'transition recall is below the gate', 'regime-collapse fold rate exceeds the gate', 'block-bootstrap margin versus the strongest naive baseline is not strictly positive']",False
