fold_id,candidate_id,dimension,method,alpha,beta,training_months,pre_bias,post_bias
fold_02,expanding_bias__family_first_interval_abstain,labour,expanding_bias,0.48352872603873437,1.0,33,-0.48352872603873437,-1.3457248783335231e-17
fold_02,expanding_affine_shrinkage__direct_eight_state,growth,expanding_affine_shrinkage,-0.6304422182193059,0.8287178676746532,33,0.8248998443902575,1.4802973661668753e-16
fold_02,expanding_affine_shrinkage__direct_eight_state,inflation,expanding_affine_shrinkage,0.2782286292838414,1.149221000345405,33,-0.300461776483138,1.5139404881252134e-17
fold_02,expanding_affine_shrinkage__direct_eight_state,labour,expanding_affine_shrinkage,0.3461770111279458,0.5907040827660661,33,-0.48352872603873437,-8.41078048958452e-18
fold_02,expanding_affine_shrinkage__family_first,growth,expanding_affine_shrinkage,-0.6304422182193059,0.8287178676746532,33,0.8248998443902575,1.4802973661668753e-16
fold_02,expanding_affine_shrinkage__family_first,inflation,expanding_affine_shrinkage,0.2782286292838414,1.149221000345405,33,-0.300461776483138,1.5139404881252134e-17
fold_02,expanding_affine_shrinkage__family_first,labour,expanding_affine_shrinkage,0.3461770111279458,0.5907040827660661,33,-0.48352872603873437,-8.41078048958452e-18
fold_02,expanding_affine_shrinkage__family_first_interval_abstain,growth,expanding_affine_shrinkage,-0.6304422182193059,0.8287178676746532,33,0.8248998443902575,1.4802973661668753e-16
fold_02,expanding_affine_shrinkage__family_first_interval_abstain,inflation,expanding_affine_shrinkage,0.2782286292838414,1.149221000345405,33,-0.300461776483138,1.5139404881252134e-17
fold_02,expanding_affine_shrinkage__family_first_interval_abstain,labour,expanding_affine_shrinkage,0.3461770111279458,0.5907040827660661,33,-0.48352872603873437,-8.41078048958452e-18
fold_03,none__direct_eight_state,growth,none,0.0,1.0,36,0.7477541149667953,0.7477541149667953
fold_03,none__direct_eight_state,inflation,none,0.0,1.0,36,-0.28365448970054197,-0.28365448970054197
fold_03,none__direct_eight_state,labour,none,0.0,1.0,36,-0.48446852174171234,-0.48446852174171234
fold_03,none__family_first,growth,none,0.0,1.0,36,0.7477541149667953,0.7477541149667953
fold_03,none__family_first,inflation,none,0.0,1.0,36,-0.28365448970054197,-0.28365448970054197
fold_03,none__family_first,labour,none,0.0,1.0,36,-0.48446852174171234,-0.48446852174171234
fold_03,none__family_first_interval_abstain,growth,none,0.0,1.0,36,0.7477541149667953,0.7477541149667953
fold_03,none__family_first_interval_abstain,inflation,none,0.0,1.0,36,-0.28365448970054197,-0.28365448970054197
fold_03,none__family_first_interval_abstain,labour,none,0.0,1.0,36,-0.48446852174171234,-0.48446852174171234
fold_03,expanding_bias__direct_eight_state,growth,expanding_bias,-0.7477541149667953,1.0,36,0.7477541149667953,1.5728159515523052e-16
fold_03,expanding_bias__direct_eight_state,inflation,expanding_bias,0.28365448970054197,1.0,36,-0.28365448970054197,-3.0839528461809905e-17
fold_03,expanding_bias__direct_eight_state,labour,expanding_bias,0.48446852174171234,1.0,36,-0.48446852174171234,-1.0793834961633467e-17
fold_03,expanding_bias__family_first,growth,expanding_bias,-0.7477541149667953,1.0,36,0.7477541149667953,1.5728159515523052e-16
fold_03,expanding_bias__family_first,inflation,expanding_bias,0.28365448970054197,1.0,36,-0.28365448970054197,-3.0839528461809905e-17
fold_03,expanding_bias__family_first,labour,expanding_bias,0.48446852174171234,1.0,36,-0.48446852174171234,-1.0793834961633467e-17
fold_03,expanding_bias__family_first_interval_abstain,growth,expanding_bias,-0.7477541149667953,1.0,36,0.7477541149667953,1.5728159515523052e-16
fold_03,expanding_bias__family_first_interval_abstain,inflation,expanding_bias,0.28365448970054197,1.0,36,-0.28365448970054197,-3.0839528461809905e-17
fold_03,expanding_bias__family_first_interval_abstain,labour,expanding_bias,0.48446852174171234,1.0,36,-0.48446852174171234,-1.0793834961633467e-17
fold_03,expanding_affine_shrinkage__direct_eight_state,growth,expanding_affine_shrinkage,-0.504498461584421,0.7690632705744094,36,0.7477541149667953,1.0793834961633466e-16
fold_03,expanding_affine_shrinkage__direct_eight_state,inflation,expanding_affine_shrinkage,0.26790241761268685,1.1331642917496163,36,-0.28365448970054197,0.0
fold_03,expanding_affine_shrinkage__direct_eight_state,labour,expanding_affine_shrinkage,0.35131527434864374,0.5857502773439875,36,-0.48446852174171234,8.480870326997724e-18
fold_03,expanding_affine_shrinkage__family_first,growth,expanding_affine_shrinkage,-0.504498461584421,0.7690632705744094,36,0.7477541149667953,1.0793834961633466e-16
fold_03,expanding_affine_shrinkage__family_first,inflation,expanding_affine_shrinkage,0.26790241761268685,1.1331642917496163,36,-0.28365448970054197,0.0
fold_03,expanding_affine_shrinkage__family_first,labour,expanding_affine_shrinkage,0.35131527434864374,0.5857502773439875,36,-0.48446852174171234,8.480870326997724e-18
fold_03,expanding_affine_shrinkage__family_first_interval_abstain,growth,expanding_affine_shrinkage,-0.504498461584421,0.7690632705744094,36,0.7477541149667953,1.0793834961633466e-16
fold_03,expanding_affine_shrinkage__family_first_interval_abstain,inflation,expanding_affine_shrinkage,0.26790241761268685,1.1331642917496163,36,-0.28365448970054197,0.0
fold_03,expanding_affine_shrinkage__family_first_interval_abstain,labour,expanding_affine_shrinkage,0.35131527434864374,0.5857502773439875,36,-0.48446852174171234,8.480870326997724e-18
fold_04,none__direct_eight_state,growth,none,0.0,1.0,39,0.8062483655090654,0.8062483655090654
fold_04,none__direct_eight_state,inflation,none,0.0,1.0,39,-0.2699900600087565,-0.2699900600087565
fold_04,none__direct_eight_state,labour,none,0.0,1.0,39,-0.44796587568473495,-0.44796587568473495
fold_04,none__family_first,growth,none,0.0,1.0,39,0.8062483655090654,0.8062483655090654
fold_04,none__family_first,inflation,none,0.0,1.0,39,-0.2699900600087565,-0.2699900600087565
fold_04,none__family_first,labour,none,0.0,1.0,39,-0.44796587568473495,-0.44796587568473495
fold_04,none__family_first_interval_abstain,growth,none,0.0,1.0,39,0.8062483655090654,0.8062483655090654
fold_04,none__family_first_interval_abstain,inflation,none,0.0,1.0,39,-0.2699900600087565,-0.2699900600087565
fold_04,none__family_first_interval_abstain,labour,none,0.0,1.0,39,-0.44796587568473495,-0.44796587568473495
fold_04,expanding_bias__direct_eight_state,growth,expanding_bias,-0.8062483655090654,1.0,39,0.8062483655090654,1.337961080958522e-16
fold_04,expanding_bias__direct_eight_state,inflation,expanding_bias,0.2699900600087565,1.0,39,-0.2699900600087565,-3.131398274583775e-17
fold_04,expanding_bias__direct_eight_state,labour,expanding_bias,0.44796587568473495,1.0,39,-0.44796587568473495,7.828495686459438e-17
fold_04,expanding_bias__family_first,growth,expanding_bias,-0.8062483655090654,1.0,39,0.8062483655090654,1.337961080958522e-16
fold_04,expanding_bias__family_first,inflation,expanding_bias,0.2699900600087565,1.0,39,-0.2699900600087565,-3.131398274583775e-17
fold_04,expanding_bias__family_first,labour,expanding_bias,0.44796587568473495,1.0,39,-0.44796587568473495,7.828495686459438e-17
fold_04,expanding_bias__family_first_interval_abstain,growth,expanding_bias,-0.8062483655090654,1.0,39,0.8062483655090654,1.337961080958522e-16
fold_04,expanding_bias__family_first_interval_abstain,inflation,expanding_bias,0.2699900600087565,1.0,39,-0.2699900600087565,-3.131398274583775e-17
fold_04,expanding_bias__family_first_interval_abstain,labour,expanding_bias,0.44796587568473495,1.0,39,-0.44796587568473495,7.828495686459438e-17
fold_04,expanding_affine_shrinkage__direct_eight_state,growth,expanding_affine_shrinkage,-0.5443528853586495,0.7505384320072731,39,0.8062483655090654,5.124106267500723e-17
fold_04,expanding_affine_shrinkage__direct_eight_state,inflation,expanding_affine_shrinkage,0.25727008305933075,1.1308144571392993,39,-0.2699900600087565,3.843079700625542e-17
fold_04,expanding_affine_shrinkage__direct_eight_state,labour,expanding_affine_shrinkage,0.31593695742021066,0.541505114941169,39,-0.44796587568473495,-6.405132834375903e-17
fold_04,expanding_affine_shrinkage__family_first,growth,expanding_affine_shrinkage,-0.5443528853586495,0.7505384320072731,39,0.8062483655090654,5.124106267500723e-17
fold_04,expanding_affine_shrinkage__family_first,inflation,expanding_affine_shrinkage,0.25727008305933075,1.1308144571392993,39,-0.2699900600087565,3.843079700625542e-17
fold_04,expanding_affine_shrinkage__family_first,labour,expanding_affine_shrinkage,0.31593695742021066,0.541505114941169,39,-0.44796587568473495,-6.405132834375903e-17
fold_04,expanding_affine_shrinkage__family_first_interval_abstain,growth,expanding_affine_shrinkage,-0.5443528853586495,0.7505384320072731,39,0.8062483655090654,5.124106267500723e-17
fold_04,expanding_affine_shrinkage__family_first_interval_abstain,inflation,expanding_affine_shrinkage,0.25727008305933075,1.1308144571392993,39,-0.2699900600087565,3.843079700625542e-17
fold_04,expanding_affine_shrinkage__family_first_interval_abstain,labour,expanding_affine_shrinkage,0.31593695742021066,0.541505114941169,39,-0.44796587568473495,-6.405132834375903e-17
fold_05,none__direct_eight_state,growth,none,0.0,1.0,42,0.7185181086569835,0.7185181086569835
fold_05,none__direct_eight_state,inflation,none,0.0,1.0,42,-0.2409301319694667,-0.2409301319694667
fold_05,none__direct_eight_state,labour,none,0.0,1.0,42,-0.4247090645979507,-0.4247090645979507
fold_05,none__family_first,growth,none,0.0,1.0,42,0.7185181086569835,0.7185181086569835
fold_05,none__family_first,inflation,none,0.0,1.0,42,-0.2409301319694667,-0.2409301319694667
fold_05,none__family_first,labour,none,0.0,1.0,42,-0.4247090645979507,-0.4247090645979507
fold_05,none__family_first_interval_abstain,growth,none,0.0,1.0,42,0.7185181086569835,0.7185181086569835
fold_05,none__family_first_interval_abstain,inflation,none,0.0,1.0,42,-0.2409301319694667,-0.2409301319694667
fold_05,none__family_first_interval_abstain,labour,none,0.0,1.0,42,-0.4247090645979507,-0.4247090645979507
fold_05,expanding_bias__direct_eight_state,growth,expanding_bias,-0.7185181086569835,1.0,42,0.7185181086569835,4.229421046191072e-17
fold_05,expanding_bias__direct_eight_state,inflation,expanding_bias,0.2409301319694667,1.0,42,-0.2409301319694667,-1.586032892321652e-17
fold_05,expanding_bias__direct_eight_state,labour,expanding_bias,0.4247090645979507,1.0,42,-0.4247090645979507,-6.6084703846735505e-18
fold_05,expanding_bias__family_first,growth,expanding_bias,-0.7185181086569835,1.0,42,0.7185181086569835,4.229421046191072e-17
fold_05,expanding_bias__family_first,inflation,expanding_bias,0.2409301319694667,1.0,42,-0.2409301319694667,-1.586032892321652e-17
fold_05,expanding_bias__family_first,labour,expanding_bias,0.4247090645979507,1.0,42,-0.4247090645979507,-6.6084703846735505e-18
fold_05,expanding_bias__family_first_interval_abstain,growth,expanding_bias,-0.7185181086569835,1.0,42,0.7185181086569835,4.229421046191072e-17
fold_05,expanding_bias__family_first_interval_abstain,inflation,expanding_bias,0.2409301319694667,1.0,42,-0.2409301319694667,-1.586032892321652e-17
fold_05,expanding_bias__family_first_interval_abstain,labour,expanding_bias,0.4247090645979507,1.0,42,-0.4247090645979507,-6.6084703846735505e-18
fold_05,expanding_affine_shrinkage__direct_eight_state,growth,expanding_affine_shrinkage,-0.4343924290532925,0.7188806788387441,42,0.7185181086569835,-7.401486830834377e-17
fold_05,expanding_affine_shrinkage__direct_eight_state,inflation,expanding_affine_shrinkage,0.23141644440123949,1.1448223042027879,42,-0.2409301319694667,-7.004978607753964e-17
fold_05,expanding_affine_shrinkage__direct_eight_state,labour,expanding_affine_shrinkage,0.29826057123878136,0.5205918128460562,42,-0.4247090645979507,-1.9825411154020653e-17
fold_05,expanding_affine_shrinkage__family_first,growth,expanding_affine_shrinkage,-0.4343924290532925,0.7188806788387441,42,0.7185181086569835,-7.401486830834377e-17
fold_05,expanding_affine_shrinkage__family_first,inflation,expanding_affine_shrinkage,0.23141644440123949,1.1448223042027879,42,-0.2409301319694667,-7.004978607753964e-17
fold_05,expanding_affine_shrinkage__family_first,labour,expanding_affine_shrinkage,0.29826057123878136,0.5205918128460562,42,-0.4247090645979507,-1.9825411154020653e-17
fold_05,expanding_affine_shrinkage__family_first_interval_abstain,growth,expanding_affine_shrinkage,-0.4343924290532925,0.7188806788387441,42,0.7185181086569835,-7.401486830834377e-17
fold_05,expanding_affine_shrinkage__family_first_interval_abstain,inflation,expanding_affine_shrinkage,0.23141644440123949,1.1448223042027879,42,-0.2409301319694667,-7.004978607753964e-17
fold_05,expanding_affine_shrinkage__family_first_interval_abstain,labour,expanding_affine_shrinkage,0.29826057123878136,0.5205918128460562,42,-0.4247090645979507,-1.9825411154020653e-17
fold_06,none__direct_eight_state,growth,none,0.0,1.0,45,0.5754222473844524,0.5754222473844524
fold_06,none__direct_eight_state,inflation,none,0.0,1.0,45,-0.2194730728730378,-0.2194730728730378
fold_06,none__direct_eight_state,labour,none,0.0,1.0,45,-0.34575636695746603,-0.34575636695746603
fold_06,none__family_first,growth,none,0.0,1.0,45,0.5754222473844524,0.5754222473844524
fold_06,none__family_first,inflation,none,0.0,1.0,45,-0.2194730728730378,-0.2194730728730378
fold_06,none__family_first,labour,none,0.0,1.0,45,-0.34575636695746603,-0.34575636695746603
fold_06,none__family_first_interval_abstain,growth,none,0.0,1.0,45,0.5754222473844524,0.5754222473844524
fold_06,none__family_first_interval_abstain,inflation,none,0.0,1.0,45,-0.2194730728730378,-0.2194730728730378
fold_06,none__family_first_interval_abstain,labour,none,0.0,1.0,45,-0.34575636695746603,-0.34575636695746603
fold_06,expanding_bias__direct_eight_state,growth,expanding_bias,-0.5754222473844524,1.0,45,0.5754222473844524,-1.4802973661668754e-17
fold_06,expanding_bias__direct_eight_state,inflation,expanding_bias,0.2194730728730378,1.0,45,-0.2194730728730378,1.2335811384723961e-17
fold_06,expanding_bias__direct_eight_state,labour,expanding_bias,0.34575636695746603,1.0,45,-0.34575636695746603,-4.934324553889585e-18
fold_06,expanding_bias__family_first,growth,expanding_bias,-0.5754222473844524,1.0,45,0.5754222473844524,-1.4802973661668754e-17
fold_06,expanding_bias__family_first,inflation,expanding_bias,0.2194730728730378,1.0,45,-0.2194730728730378,1.2335811384723961e-17
fold_06,expanding_bias__family_first,labour,expanding_bias,0.34575636695746603,1.0,45,-0.34575636695746603,-4.934324553889585e-18
fold_06,expanding_bias__family_first_interval_abstain,growth,expanding_bias,-0.5754222473844524,1.0,45,0.5754222473844524,-1.4802973661668754e-17
fold_06,expanding_bias__family_first_interval_abstain,inflation,expanding_bias,0.2194730728730378,1.0,45,-0.2194730728730378,1.2335811384723961e-17
