dimension,months,rmse,mae,bias,correlation,accuracy
growth,19,0.7629436819770316,0.5882852850816566,0.05179726723338994,-0.3419675875309428,0.2631578947368421
inflation,19,0.4813443912294732,0.35563535406307434,0.018878495120183615,0.34267492260389604,0.6842105263157895
labour,19,0.5418220358908777,0.41059697130811623,0.31153984262124174,-0.21299193242240433,0.631578947368421
eight_regime_point_decision,19,,,,,0.42105263157894735
regime_family_point_decision,19,,,,,0.5789473684210527
probability_top1_decision,19,,,,,0.05263157894736842
