dimension,months,rmse,mae,bias,correlation,accuracy
growth,54,1.5462734525483974,1.0323469849236053,0.4831020213595584,0.3557088709463896,0.6296296296296297
inflation,54,0.6979848611683658,0.5208707850197888,-0.17545446761901282,0.7805685676101461,0.7407407407407407
labour,54,0.7023379548014572,0.5214211015752968,-0.26568505937154374,0.30993660807614803,0.5740740740740741
eight_regime_point_decision,54,,,,,0.37037037037037035
regime_family_point_decision,54,,,,,0.5925925925925926
probability_top1_decision,54,,,,,0.2962962962962963
