policy_id,folds,mean_fold_score,median_fold_score,mean_fold_rank,median_fold_rank,rank_std,rank_stability,best_fold_rank,worst_fold_rank,fold_win_rate,baseline_dominance_rate,mean_baseline_margin,mean_exact_regime_accuracy,mean_family_accuracy,mean_stable_month_accuracy,mean_transition_month_accuracy,mean_transition_precision,mean_transition_recall,mean_transition_f1,mean_false_transition_rate,regime_collapse_fold_rate,bootstrap_margin_mean,bootstrap_margin_lower,bootstrap_margin_upper,stability_score,stability_rank,audit_score,audit_rank,audit_exact_regime_accuracy,audit_family_accuracy,audit_transition_f1,audit_baseline_margin,audit_false_transition_rate,governance_pass
raw_monthly,7,79.10714285714286,81.875,1.4285714285714286,1.0,0.4948716593053935,0.8350427802315354,1,2,0.5714285714285714,0.0,-0.16666666666666666,0.4523809523809524,0.619047619047619,0.5714285714285714,0.35714285714285715,0.4928571428571429,0.4523809523809524,0.44829931972789117,0.5071428571428571,0.5714285714285714,-0.09523809523809523,-0.16666666666666666,0.0,85.0,1,96.24999999999999,1,0.42105263157894735,0.5789473684210527,0.47058823529411764,-0.13450292397660824,0.5555555555555556,False
hysteresis_thresholds,7,78.57142857142857,78.125,1.5714285714285714,2.0,0.4948716593053935,0.8350427802315354,1,2,0.42857142857142855,0.0,-0.11904761904761904,0.5,0.5952380952380951,0.619047619047619,0.38095238095238093,0.07142857142857142,0.047619047619047616,0.05714285714285715,0.21428571428571427,1.0,-0.047619047619047616,-0.09523809523809523,0.023809523809523808,67.5,2,49.375,3,0.15789473684210525,0.2631578947368421,0.0,-0.3976608187134503,0.0,False
one_month_confirmation,7,56.339285714285715,60.62500000000001,2.857142857142857,3.0,0.6388765649999398,0.7870411450000201,2,4,0.0,0.0,-0.2857142857142857,0.3333333333333333,0.42857142857142855,0.4404761904761904,0.23809523809523808,0.14285714285714285,0.11904761904761904,0.1285714285714286,0.5714285714285714,0.8571428571428571,-0.21428571428571427,-0.2619047619047619,-0.14285714285714285,51.87500000000001,3,73.75,2,0.2631578947368421,0.5263157894736842,0.36363636363636365,-0.2923976608187135,0.3333333333333333,False
persistence_prior,7,35.982142857142854,33.125,3.7142857142857144,4.0,0.4517539514526256,0.8494153495157915,3,4,0.0,0.0,-0.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5476190476190477,-0.6190476190476191,-0.47619047619047616,45.62500000000001,4,30.625000000000004,4,0.0,0.10526315789473684,0.0,-0.5555555555555556,0.0,False
