fold_id,policy_id,evaluation_start,evaluation_end,evaluation_months,strongest_baseline,months,dimension_rmse,sign_accuracy,exact_regime_accuracy,family_accuracy,stable_month_accuracy,transition_month_accuracy,actual_transition_count,predicted_transition_count,matched_transition_count,false_transition_count,transition_precision,transition_recall,transition_f1,false_transition_rate,mean_transition_lead_lag,exact_transition_timing_rate,mode_accuracy,persistence_accuracy,strongest_baseline_accuracy,baseline_margin,beats_strongest_baseline,disagreement_months,candidate_wins_disagreement,persistence_wins_disagreement,unique_regimes,maximum_regime_share,normalized_regime_entropy,regime_collapse,brier_score,log_loss,top1_accuracy,mean_top_probability,mean_effective_regimes,policy_score,policy_rank
fold_04,hysteresis_thresholds,2023-05-31,2023-10-31,6,training_mode,6,0.8343802976617143,0.5555555555555556,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.8333333333333334,0.5,0.8333333333333334,0.0,False,2,2,0,1,1.0,0.0,True,0.638848622639974,1.2932551408231998,0.5,0.3317057291666667,5.255231262248366,85.625,1
fold_04,one_month_confirmation,2023-05-31,2023-10-31,6,training_mode,6,0.8343802976617143,0.5555555555555556,0.6666666666666666,0.8333333333333334,1.0,0.3333333333333333,2,1,0,1,0.0,0.0,0.0,1.0,,0.0,0.8333333333333334,0.5,0.8333333333333334,-0.16666666666666674,False,2,1,0,2,0.8333333333333334,0.2166741405494514,True,0.638848622639974,1.2932551408231998,0.5,0.3317057291666667,5.255231262248366,64.375,2
fold_04,raw_monthly,2023-05-31,2023-10-31,6,training_mode,6,0.8343802976617143,0.5555555555555556,0.6666666666666666,0.8333333333333334,1.0,0.3333333333333333,2,1,0,1,0.0,0.0,0.0,1.0,,0.0,0.8333333333333334,0.5,0.8333333333333334,-0.16666666666666674,False,3,1,0,2,0.6666666666666666,0.3060986113514965,True,0.638848622639974,1.2932551408231998,0.5,0.3317057291666667,5.255231262248366,64.375,2
fold_04,persistence_prior,2023-05-31,2023-10-31,6,training_mode,6,0.8343802976617143,0.5555555555555556,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.8333333333333334,0.5,0.8333333333333334,-0.8333333333333334,False,6,0,3,1,1.0,0.0,True,0.8721596368153889,1.724038056915654,0.0,0.40194498697916664,4.83485577343971,35.625,4
fold_05,hysteresis_thresholds,2023-08-31,2024-01-31,6,training_mode,6,0.8387209939432276,0.5,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666666,0.5,0.6666666666666666,0.0,False,1,1,0,1,1.0,0.0,True,0.6354290644327799,1.2605996543337386,0.5,0.3678385416666667,4.945583652602088,81.875,1
fold_05,raw_monthly,2023-08-31,2024-01-31,6,training_mode,6,0.8387209939432276,0.5,0.5,0.6666666666666666,1.0,0.0,3,2,1,1,0.5,0.3333333333333333,0.4,0.5,1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,-0.16666666666666663,False,2,0,0,2,0.6666666666666666,0.3060986113514965,True,0.6354290644327799,1.2605996543337386,0.5,0.3678385416666667,4.945583652602088,76.875,2
fold_05,one_month_confirmation,2023-08-31,2024-01-31,6,training_mode,6,0.8387209939432276,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,3,2,1,1,0.5,0.3333333333333333,0.4,0.5,2.0,0.0,0.6666666666666666,0.5,0.6666666666666666,-0.3333333333333333,False,2,0,1,2,0.6666666666666666,0.3060986113514965,True,0.6354290644327799,1.2605996543337386,0.5,0.3678385416666667,4.945583652602088,60.62500000000001,3
fold_05,persistence_prior,2023-08-31,2024-01-31,6,training_mode,6,0.8387209939432276,0.5,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666666,0.5,0.6666666666666666,-0.6666666666666666,False,6,0,3,1,1.0,0.0,True,0.856199899514516,1.6913825704261927,0.0,0.38872070312499996,4.780763959345364,30.625000000000004,4
fold_06,raw_monthly,2023-11-30,2024-04-30,6,persistence,6,0.5830100052204169,0.6111111111111112,0.5,0.5,0.5,0.5,2,2,1,1,0.5,0.5,0.5,0.5,-1.0,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.16666666666666663,False,3,1,2,2,0.8333333333333334,0.2166741405494514,True,0.6280209223429362,1.250631464539859,0.6666666666666666,0.3299153645833333,5.302755236724386,86.25,1
fold_06,hysteresis_thresholds,2023-11-30,2024-04-30,6,persistence,6,0.5830100052204169,0.6111111111111112,0.5,0.5,0.5,0.5,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.16666666666666663,False,3,1,2,1,1.0,0.0,True,0.6280209223429362,1.250631464539859,0.6666666666666666,0.3299153645833333,5.302755236724386,78.125,2
fold_06,one_month_confirmation,2023-11-30,2024-04-30,6,persistence,6,0.5830100052204169,0.6111111111111112,0.3333333333333333,0.5,0.25,0.5,2,1,0,1,0.0,0.0,0.0,1.0,,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.3333333333333333,False,4,1,3,2,0.8333333333333334,0.2166741405494514,True,0.6280209223429362,1.250631464539859,0.6666666666666666,0.3299153645833333,5.302755236724386,52.49999999999999,3
fold_06,persistence_prior,2023-11-30,2024-04-30,6,persistence,6,0.5830100052204169,0.6111111111111112,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.6666666666666666,False,6,0,4,1,1.0,0.0,True,0.8674368214607239,1.6814143806323134,0.0,0.40427246093749997,4.8521690382443445,33.125,4
fold_07,raw_monthly,2024-02-29,2024-07-31,6,persistence,6,0.4791064262033311,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.5,1.0,2,2,2,0,1.0,1.0,1.0,0.0,-0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,False,4,2,2,3,0.6666666666666666,0.4172097224626076,False,0.6494140625,1.2956402808921104,0.6666666666666666,0.2957356770833333,5.346531471706405,95.625,1
fold_07,hysteresis_thresholds,2024-02-29,2024-07-31,6,persistence,6,0.4791064262033311,0.7222222222222222,0.5,0.5,0.5,0.5,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.16666666666666663,False,3,1,2,1,1.0,0.0,True,0.6494140625,1.2956402808921104,0.6666666666666666,0.2957356770833333,5.346531471706405,61.25000000000001,2
fold_07,one_month_confirmation,2024-02-29,2024-07-31,6,persistence,6,0.4791064262033311,0.7222222222222222,0.5,0.5,0.5,0.5,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.16666666666666663,False,3,1,2,1,1.0,0.0,True,0.6494140625,1.2956402808921104,0.6666666666666666,0.2957356770833333,5.346531471706405,61.25000000000001,2
fold_07,persistence_prior,2024-02-29,2024-07-31,6,persistence,6,0.4791064262033311,0.7222222222222222,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.5,0.6666666666666666,0.6666666666666666,-0.6666666666666666,False,6,0,4,1,1.0,0.0,True,0.8814371744791667,1.726423196984565,0.0,0.40099283854166673,4.935861920271168,31.874999999999996,4
