fold_id,benchmark_id,bin_id,bin_lower,bin_upper,observations,mean_confidence,empirical_accuracy
fold_03,rolling_frequency,1,0.0,0.2,0,,
fold_03,rolling_frequency,2,0.2,0.4,5,0.3333333333333333,0.6
fold_03,rolling_frequency,3,0.4,0.6000000000000001,1,0.4166666666666667,0.0
fold_03,rolling_frequency,4,0.6000000000000001,0.8,0,,
fold_03,rolling_frequency,5,0.8,1.0,0,,
fold_04,source,1,0.0,0.2,0,,
fold_04,source,2,0.2,0.4,2,0.337890625,1.0
fold_04,source,3,0.4,0.6000000000000001,4,0.455078125,0.5
fold_04,source,4,0.6000000000000001,0.8,0,,
fold_04,source,5,0.8,1.0,0,,
fold_04,hard_persistence,1,0.0,0.2,0,,
fold_04,hard_persistence,2,0.2,0.4,0,,
fold_04,hard_persistence,3,0.4,0.6000000000000001,0,,
fold_04,hard_persistence,4,0.6000000000000001,0.8,0,,
fold_04,hard_persistence,5,0.8,1.0,6,1.0,0.3333333333333333
fold_04,soft_persistence,1,0.0,0.2,0,,
fold_04,soft_persistence,2,0.2,0.4,0,,
fold_04,soft_persistence,3,0.4,0.6000000000000001,0,,
fold_04,soft_persistence,4,0.6000000000000001,0.8,0,,
fold_04,soft_persistence,5,0.8,1.0,6,0.9197530864197531,0.3333333333333333
fold_04,dirichlet_persistence,1,0.0,0.2,0,,
fold_04,dirichlet_persistence,2,0.2,0.4,0,,
fold_04,dirichlet_persistence,3,0.4,0.6000000000000001,0,,
fold_04,dirichlet_persistence,4,0.6000000000000001,0.8,6,0.679835390946502,0.3333333333333333
fold_04,dirichlet_persistence,5,0.8,1.0,0,,
fold_04,markov_first_order,1,0.0,0.2,0,,
fold_04,markov_first_order,2,0.2,0.4,2,0.30434782608695654,0.5
fold_04,markov_first_order,3,0.4,0.6000000000000001,4,0.5,0.25
fold_04,markov_first_order,4,0.6000000000000001,0.8,0,,
fold_04,markov_first_order,5,0.8,1.0,0,,
fold_04,rolling_frequency,1,0.0,0.2,0,,
fold_04,rolling_frequency,2,0.2,0.4,4,0.3333333333333333,0.75
fold_04,rolling_frequency,3,0.4,0.6000000000000001,2,0.5,0.5
fold_04,rolling_frequency,4,0.6000000000000001,0.8,0,,
fold_04,rolling_frequency,5,0.8,1.0,0,,
fold_05,source,1,0.0,0.2,0,,
fold_05,source,2,0.2,0.4,1,0.3310546875,1.0
fold_05,source,3,0.4,0.6000000000000001,5,0.46953125,0.6
fold_05,source,4,0.6000000000000001,0.8,0,,
fold_05,source,5,0.8,1.0,0,,
fold_05,hard_persistence,1,0.0,0.2,0,,
fold_05,hard_persistence,2,0.2,0.4,0,,
fold_05,hard_persistence,3,0.4,0.6000000000000001,0,,
fold_05,hard_persistence,4,0.6000000000000001,0.8,0,,
fold_05,hard_persistence,5,0.8,1.0,6,1.0,0.3333333333333333
fold_05,soft_persistence,1,0.0,0.2,0,,
fold_05,soft_persistence,2,0.2,0.4,0,,
fold_05,soft_persistence,3,0.4,0.6000000000000001,0,,
fold_05,soft_persistence,4,0.6000000000000001,0.8,0,,
fold_05,soft_persistence,5,0.8,1.0,6,0.8703703703703706,0.3333333333333333
fold_05,dirichlet_persistence,1,0.0,0.2,0,,
fold_05,dirichlet_persistence,2,0.2,0.4,0,,
fold_05,dirichlet_persistence,3,0.4,0.6000000000000001,0,,
fold_05,dirichlet_persistence,4,0.6000000000000001,0.8,6,0.6469135802469136,0.3333333333333333
fold_05,dirichlet_persistence,5,0.8,1.0,0,,
fold_05,markov_first_order,1,0.0,0.2,0,,
fold_05,markov_first_order,2,0.2,0.4,5,0.29460869565217396,0.4
fold_05,markov_first_order,3,0.4,0.6000000000000001,1,0.5294117647058824,0.0
fold_05,markov_first_order,4,0.6000000000000001,0.8,0,,
fold_05,markov_first_order,5,0.8,1.0,0,,
fold_05,rolling_frequency,1,0.0,0.2,0,,
fold_05,rolling_frequency,2,0.2,0.4,1,0.3333333333333333,1.0
fold_05,rolling_frequency,3,0.4,0.6000000000000001,5,0.5333333333333334,0.6
fold_05,rolling_frequency,4,0.6000000000000001,0.8,0,,
fold_05,rolling_frequency,5,0.8,1.0,0,,
fold_06,source,1,0.0,0.2,0,,
fold_06,source,2,0.2,0.4,2,0.34765625,0.5
fold_06,source,3,0.4,0.6000000000000001,4,0.452392578125,0.5
fold_06,source,4,0.6000000000000001,0.8,0,,
fold_06,source,5,0.8,1.0,0,,
fold_06,hard_persistence,1,0.0,0.2,0,,
fold_06,hard_persistence,2,0.2,0.4,0,,
fold_06,hard_persistence,3,0.4,0.6000000000000001,0,,
fold_06,hard_persistence,4,0.6000000000000001,0.8,0,,
fold_06,hard_persistence,5,0.8,1.0,6,1.0,0.16666666666666666
fold_06,soft_persistence,1,0.0,0.2,0,,
fold_06,soft_persistence,2,0.2,0.4,0,,
fold_06,soft_persistence,3,0.4,0.6000000000000001,0,,
fold_06,soft_persistence,4,0.6000000000000001,0.8,0,,
fold_06,soft_persistence,5,0.8,1.0,6,0.9135802469135802,0.16666666666666666
fold_06,dirichlet_persistence,1,0.0,0.2,0,,
fold_06,dirichlet_persistence,2,0.2,0.4,0,,
fold_06,dirichlet_persistence,3,0.4,0.6000000000000001,0,,
fold_06,dirichlet_persistence,4,0.6000000000000001,0.8,6,0.6757201646090535,0.16666666666666666
fold_06,dirichlet_persistence,5,0.8,1.0,0,,
fold_06,markov_first_order,1,0.0,0.2,0,,
fold_06,markov_first_order,2,0.2,0.4,4,0.28608695652173916,0.25
fold_06,markov_first_order,3,0.4,0.6000000000000001,2,0.4838709677419355,0.0
fold_06,markov_first_order,4,0.6000000000000001,0.8,0,,
fold_06,markov_first_order,5,0.8,1.0,0,,
fold_06,rolling_frequency,1,0.0,0.2,0,,
fold_06,rolling_frequency,2,0.2,0.4,0,,
fold_06,rolling_frequency,3,0.4,0.6000000000000001,6,0.5694444444444445,0.3333333333333333
fold_06,rolling_frequency,4,0.6000000000000001,0.8,0,,
fold_06,rolling_frequency,5,0.8,1.0,0,,
fold_07,source,1,0.0,0.2,0,,
fold_07,source,2,0.2,0.4,2,0.34765625,0.5
fold_07,source,3,0.4,0.6000000000000001,4,0.434326171875,0.25
fold_07,source,4,0.6000000000000001,0.8,0,,
fold_07,source,5,0.8,1.0,0,,
fold_07,hard_persistence,1,0.0,0.2,0,,
fold_07,hard_persistence,2,0.2,0.4,0,,
fold_07,hard_persistence,3,0.4,0.6000000000000001,0,,
fold_07,hard_persistence,4,0.6000000000000001,0.8,0,,
fold_07,hard_persistence,5,0.8,1.0,6,1.0,0.16666666666666666
fold_07,soft_persistence,1,0.0,0.2,0,,
fold_07,soft_persistence,2,0.2,0.4,0,,
fold_07,soft_persistence,3,0.4,0.6000000000000001,0,,
fold_07,soft_persistence,4,0.6000000000000001,0.8,0,,
fold_07,soft_persistence,5,0.8,1.0,6,0.9814814814814815,0.16666666666666666
fold_07,dirichlet_persistence,1,0.0,0.2,0,,
fold_07,dirichlet_persistence,2,0.2,0.4,0,,
fold_07,dirichlet_persistence,3,0.4,0.6000000000000001,0,,
fold_07,dirichlet_persistence,4,0.6000000000000001,0.8,6,0.7209876543209877,0.16666666666666666
fold_07,dirichlet_persistence,5,0.8,1.0,0,,
fold_07,markov_first_order,1,0.0,0.2,0,,
fold_07,markov_first_order,2,0.2,0.4,1,0.28,0.0
fold_07,markov_first_order,3,0.4,0.6000000000000001,5,0.4998463901689708,0.2
fold_07,markov_first_order,4,0.6000000000000001,0.8,0,,
fold_07,markov_first_order,5,0.8,1.0,0,,
fold_07,rolling_frequency,1,0.0,0.2,0,,
fold_07,rolling_frequency,2,0.2,0.4,0,,
fold_07,rolling_frequency,3,0.4,0.6000000000000001,6,0.5833333333333334,0.16666666666666666
fold_07,rolling_frequency,4,0.6000000000000001,0.8,0,,
fold_07,rolling_frequency,5,0.8,1.0,0,,
