target_mode,fold_id,source_family_accuracy,persistence_family_accuracy,source_macro_f1,persistence_macro_f1,source_weighted_accuracy,persistence_weighted_accuracy,baseline_margin,source_beats_persistence
fixed_horizon_90d,fold_01,0.3333333333333333,0.5,0.14285714285714288,0.3571428571428572,0.38596491228070173,0.5175438596491228,-0.13157894736842102,False
fixed_horizon_90d,fold_02,0.3333333333333333,0.5,0.16666666666666666,0.38888888888888884,0.3333333333333333,0.5035460992907802,-0.1702127659574469,False
fixed_horizon_90d,fold_03,0.5,0.3333333333333333,0.2222222222222222,0.3,0.5064935064935066,0.33116883116883117,0.17532467532467538,True
fixed_horizon_90d,fold_04,0.6666666666666666,0.3333333333333333,0.29629629629629634,0.25,0.6434108527131783,0.3178294573643411,0.32558139534883723,True
fixed_horizon_90d,fold_05,0.6666666666666666,0.5,0.29629629629629634,0.33333333333333326,0.6564885496183206,0.5419847328244275,0.1145038167938931,True
fixed_horizon_90d,fold_06,0.5,0.5,0.41269841269841273,0.43333333333333335,0.5192307692307693,0.5192307692307693,0.0,False
fixed_horizon_90d,fold_07,0.3333333333333333,0.3333333333333333,0.3,0.27777777777777773,0.35526315789473684,0.34868421052631576,0.006578947368421073,True
initial_release,fold_01,0.3333333333333333,0.5,0.125,0.22222222222222218,0.3962264150943396,0.5943396226415094,-0.19811320754716982,False
initial_release,fold_02,0.3333333333333333,0.5,0.16666666666666666,0.38888888888888884,0.3525179856115108,0.539568345323741,-0.18705035971223016,False
initial_release,fold_03,0.6666666666666666,0.6666666666666666,0.4,0.4523809523809524,0.6275862068965518,0.6620689655172414,-0.03448275862068961,False
initial_release,fold_04,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.4000000000000001,0.8048780487804879,0.6829268292682927,0.12195121951219512,True
initial_release,fold_05,0.6666666666666666,0.5,0.29629629629629634,0.33333333333333326,0.6610169491525424,0.5338983050847458,0.1271186440677966,True
initial_release,fold_06,0.5,0.5,0.41269841269841273,0.43333333333333335,0.5593220338983051,0.5593220338983051,0.0,False
initial_release,fold_07,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,False
latest_revised,fold_01,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.26666666666666666,0.19047619047619047,0.3333333333333333,-0.14285714285714285,False
latest_revised,fold_02,0.5,0.3333333333333333,0.16666666666666663,0.1904761904761905,0.5321100917431192,0.36697247706422015,0.16513761467889904,True
latest_revised,fold_03,0.8333333333333334,0.6666666666666666,0.45454545454545453,0.29629629629629634,0.846547314578005,0.7084398976982097,0.13810741687979533,True
latest_revised,fold_04,0.6666666666666666,0.6666666666666666,0.29629629629629634,0.625,0.6811989100817439,0.7302452316076294,-0.049046321525885506,False
latest_revised,fold_05,0.5,0.5,0.24999999999999997,0.48571428571428577,0.5121951219512195,0.5609756097560975,-0.04878048780487798,False
latest_revised,fold_06,0.6666666666666666,0.5,0.47222222222222215,0.38888888888888884,0.625,0.49218750000000006,0.13281249999999994,True
latest_revised,fold_07,0.5,0.5,0.35555555555555557,0.38888888888888884,0.443609022556391,0.4736842105263159,-0.030075187969924866,False
