left_mode,right_mode,common_months,hard_family_agreement,hard_regime_agreement,soft_primary_family_agreement,growth_score_mae,inflation_score_mae,labour_score_mae
initial_release,fixed_horizon_90d,70,0.8285714285714286,0.7285714285714285,0.8285714285714286,0.10080630537682753,0.11203779346236357,0.18611318794011644
initial_release,latest_revised,73,0.7808219178082192,0.6986301369863014,0.7123287671232876,0.3259464468657776,0.18725860013463622,0.22077932639780212
fixed_horizon_90d,latest_revised,70,0.7428571428571429,0.6857142857142857,0.7428571428571429,0.29881737998500957,0.19280321382318852,0.11524528570735951
