interval_method,observations,coverage,average_half_width,mean_interval_score,median_interval_score
exp_weighted_q80,818,0.8471882640586798,3.2604511352600944,9.103746246986312,6.554688278647502
target_shrunk_q80,818,0.8704156479217604,3.353793852640241,9.218613446581497,6.885967607287455
rolling_q80,818,0.8704156479217604,3.3688236710359294,9.224552741978655,6.879077270341003
ewma_gaussian,818,0.8728606356968215,3.403145475252258,9.325655927618069,6.905576049122521
