target_series,forecast_stage,observations,rmse,mae,bias,median_ae,p90_abs_error,max_abs_error,model_name
CPIAUCSL,mid_month,52,3.9139831295055094,2.604311562550203,-0.20318380234630323,1.3215375819068702,6.838079509393849,12.718300125766284,Adaptive shadow
CPIAUCSL,month_end,52,3.9210013131596155,2.5957179370419903,-0.21200068259702426,1.2747476274194884,6.838079509393849,12.718300125766284,Adaptive shadow
CPIAUCSL,month_open,50,4.050659431059685,2.8336002691668183,-0.28088823828211895,2.073489002633493,6.441077825321669,12.43334014178372,Adaptive shadow
CPIAUCSL,pre_release,52,3.9200285036375955,2.6094602398579143,-0.22395376852440282,1.2747476274194884,6.86287676669986,12.795623934870637,Adaptive shadow
CPILFESL,mid_month,52,1.5333906682490457,1.208441231878045,0.1895576016116246,1.04777555828501,2.606859711771122,3.7891481684312502,Adaptive shadow
CPILFESL,month_end,52,1.5354109147070547,1.205563371238879,0.18667974097245815,0.9972974639771996,2.606859711771122,3.7891481684312502,Adaptive shadow
CPILFESL,month_open,50,1.843837251379435,1.3786755195587153,-0.23845541689037567,0.9877574680935934,3.203463194128789,4.707282039045601,Adaptive shadow
CPILFESL,pre_release,52,1.528548330250314,1.2088570162738335,0.18825270001945238,1.0637603710287618,2.60708844419816,3.777892337467938,Adaptive shadow
PCEPI,mid_month,50,2.5443057492068815,1.892317415406272,-0.17121062164916784,1.3055441638707428,4.394405860244706,7.060879805108045,Adaptive shadow
PCEPI,month_end,52,2.628356528520984,1.9028934756723797,0.034033763131231964,1.3786119110229311,4.713774554150544,8.429098374391652,Adaptive shadow
PCEPI,month_open,49,2.630463530518204,1.9217479662760952,-0.15434236275942512,1.4141836812477688,4.642269932004635,7.430755247722713,Adaptive shadow
PCEPI,pre_release,52,2.5375886200571185,1.818853504967519,-0.06893973945648516,1.2225776596209936,4.045970149191533,8.383809532034473,Adaptive shadow
PCEPILFE,mid_month,50,1.6477570543935534,1.2818445364822864,-0.12954825033507134,0.9631900065935284,2.6277040299792387,5.014881246814687,Adaptive shadow
PCEPILFE,month_end,52,1.7261265322351258,1.285002534509609,-0.09200496686463737,0.8638710641868386,2.686995130171121,4.860375298756107,Adaptive shadow
PCEPILFE,month_open,49,1.6613129316739093,1.3270657529995105,-0.318731307650954,1.0325447559359269,2.7460131017439555,4.0954290969981715,Adaptive shadow
PCEPILFE,pre_release,52,1.6972462107371762,1.2563473941206822,-0.14376559610004536,0.7596641595493803,2.686995130171121,4.936242962335603,Adaptive shadow
